,real_time,WT_Runcode,iGenPower,iGenSpeed,iTemp1GearOil_1sec,iTempGearBearDE_1sec,iTempGearBearNDE_1sec,iTempNacelle_1sec,iWindSpeed
98,2017-11-15 08:14:38,3,2048,1749,58.0,59.4,62.4,16.5,10.81
99,2017-11-15 08:14:39,3,2051,1747,58.0,59.3,62.4,16.5,11.39
100,2017-11-15 08:14:40,3,2053,1749,58.0,59.3,62.4,16.5,11.79
101,2017-11-15 08:14:41,3,2057,1750,58.0,59.3,62.4,16.5,11.59
102,2017-11-15 08:14:42,3,2053,1751,58.0,59.3,62.5,16.5,11.63
103,2017-11-15 08:14:43,3,2066,1757,58.0,59.3,62.4,16.4,10.83
104,2017-11-15 08:14:44,3,2050,1758,58.0,59.3,62.4,16.4,10.58
105,2017-11-15 08:14:45,3,2056,1760,57.9,59.3,62.4,16.5,11.11
106,2017-11-15 08:14:46,3,2054,1762,57.9,59.3,62.4,16.5,12.07
107,2017-11-15 08:14:47,3,2049,1762,57.9,59.3,62.4,16.5,10.09
108,2017-11-15 08:14:48,3,2056,1764,58.0,59.3,62.4,16.5,11.77
109,2017-11-15 08:14:49,3,2044,1763,58.0,59.4,62.4,16.5,11.18
110,2017-11-15 08:14:50,3,2058,1765,57.9,59.3,62.4,16.5,11.98
111,2017-11-15 08:14:51,3,2049,1767,57.9,59.4,62.4,16.5,11.86
112,2017-11-15 08:14:52,3,2043,1764,57.9,59.4,62.4,16.5,12.53
113,2017-11-15 08:14:53,3,2042,1762,57.9,59.3,62.5,16.5,10.8
114,2017-11-15 08:14:54,3,2049,1762,57.9,59.3,62.4,16.5,12.19
115,2017-11-15 08:14:55,3,2049,1759,57.9,59.3,62.4,16.5,10.72
116,2017-11-15 08:14:56,3,2041,1755,57.9,59.3,62.4,16.5,9.84
117,2017-11-15 08:14:57,3,2047,1755,57.9,59.3,62.4,16.5,11.13
118,2017-11-15 08:14:58,3,2047,1753,57.9,59.3,62.4,16.5,10.63
119,2017-11-15 08:14:59,3,2060,1754,58.0,59.4,62.4,16.5,10.98
120,2017-11-15 08:15:00,3,2047,1753,58.0,59.3,62.4,16.5,11.22
121,2017-11-15 08:15:01,3,2050,1755,58.0,59.3,62.4,16.5,9.28
122,2017-11-15 08:15:02,3,2056,1756,58.0,59.4,62.4,16.5,10.36
123,2017-11-15 08:15:03,3,2051,1757,58.0,59.4,62.4,16.5,11.76
124,2017-11-15 08:15:04,3,2048,1754,57.9,59.4,62.4,16.5,10.2
125,2017-11-15 08:15:05,3,2041,1751,58.0,59.4,62.5,16.5,12.24
126,2017-11-15 08:15:06,3,2039,1749,58.0,59.4,62.4,16.5,12.42
127,2017-11-15 08:15:07,3,2063,1747,58.0,59.4,62.5,16.5,12.11
128,2017-11-15 08:15:08,3,2045,1742,58.0,59.4,62.4,16.5,11.9
129,2017-11-15 08:15:09,3,2057,1740,58.0,59.4,62.4,16.5,11.84
130,2017-11-15 08:15:10,3,2039,1739,58.0,59.4,62.4,16.5,12.53
